_id,ID,Count,Temp,Hum,timestamp
6660ff3b0b898b42a16b9e3e,185,43,29.9,49.29,2024-06-05T17:13:47.000Z
6660ff630b898b42a16b9e3f,185,45,29.86,49.32,2024-06-05T17:14:27.000Z
6660ff700b898b42a16b9e40,246,46,29.77,50.83,2024-06-05T17:14:40.000Z
6660ff840b898b42a16b9e41,246,47,29.76,51.15,2024-06-05T17:15:00.000Z
6660ff8b0b898b42a16b9e42,185,47,29.87,49.77,2024-06-05T17:15:07.000Z
6660ff9f0b898b42a16b9e43,185,48,29.9,49.67,2024-06-05T17:15:27.000Z
6660ffac0b898b42a16b9e44,246,49,29.73,50.86,2024-06-05T17:15:40.000Z
6660ffc00b898b42a16b9e45,246,50,29.7,50.8,2024-06-05T17:16:00.000Z
6660ffd40b898b42a16b9e46,246,51,29.69,50.99,2024-06-05T17:16:20.000Z
6660ffe80b898b42a16b9e47,246,52,29.72,50.89,2024-06-05T17:16:40.000Z
666100030b898b42a16b9e48,185,53,29.84,49.64,2024-06-05T17:17:07.000Z
666100170b898b42a16b9e49,185,54,29.86,49.35,2024-06-05T17:17:27.000Z
666100380b898b42a16b9e4a,246,56,29.73,50.89,2024-06-05T17:18:00.000Z
6661003f0b898b42a16b9e4b,185,56,29.91,49.35,2024-06-05T17:18:07.000Z
6661004c0b898b42a16b9e4c,246,57,29.73,50.7,2024-06-05T17:18:20.000Z
666100600b898b42a16b9e4d,246,58,29.73,50.8,2024-06-05T17:18:40.000Z
666100740b898b42a16b9e4e,246,59,29.76,50.89,2024-06-05T17:19:00.000Z
6661007b0b898b42a16b9e4f,185,59,29.98,49.29,2024-06-05T17:19:07.000Z
6661008f0b898b42a16b9e50,185,60,29.97,49.8,2024-06-05T17:19:27.000Z
6661009c0b898b42a16b9e51,246,61,29.79,50.83,2024-06-05T17:19:40.000Z
666100b00b898b42a16b9e52,246,62,29.77,50.77,2024-06-05T17:20:00.000Z
666100b70b898b42a16b9e53,185,62,29.94,49.25,2024-06-05T17:20:07.000Z
666100c40b898b42a16b9e54,246,63,29.73,50.8,2024-06-05T17:20:20.000Z
666100cb0b898b42a16b9e55,185,63,29.91,49.19,2024-06-05T17:20:27.000Z
666100ec0b898b42a16b9e56,246,65,29.72,50.93,2024-06-05T17:21:00.000Z
666100f30b898b42a16b9e57,185,65,29.91,49.22,2024-06-05T17:21:07.000Z
6663445e9db052180ae2fe0a,185,4,31.16,44.15,2024-06-07T20:33:18.000Z
666344729db052180ae2fe0b,185,5,31.18,43.85,2024-06-07T20:33:38.000Z
6663447f9db052180ae2fe0c,246,6,31.36,44.54,2024-06-07T20:33:51.000Z
666344869db052180ae2fe0d,185,6,31.22,43.71,2024-06-07T20:33:58.000Z
666344939db052180ae2fe0e,246,7,31.38,44.38,2024-06-07T20:34:11.000Z
6663449a9db052180ae2fe0f,185,7,31.23,43.51,2024-06-07T20:34:18.000Z
666344a79db052180ae2fe10,246,8,31.43,44.38,2024-06-07T20:34:31.000Z
